Job_ID,Start_Time,End_Time,CPU_Allocated,GPU_Allocated,CPU_Ratio,GPU_Ratio
150,78.0,,128,4,1.0000,0.2500
151,125.0,,128,2,1.0000,0.1250
152,125.0,,128,4,1.0000,0.2500
153,30.0,,128,0,1.0000,0.0000
154,30.0,,128,1,1.0000,0.0625
155,80.0,,128,1,1.0000,0.0625
156,80.0,,128,4,1.0000,0.2500
157,110.0,,128,4,1.0000,0.2500
158,50.0,,128,2,1.0000,0.1250
159,119.0,,128,1,1.0000,0.0625
160,119.0,,128,2,1.0000,0.1250
161,119.0,,128,0,1.0000,0.0000
162,21.0,,128,4,1.0000,0.2500
163,21.0,,128,4,1.0000,0.2500
164,65.0,,128,2,1.0000,0.1250
165,109.0,,128,4,1.0000,0.2500
166,109.0,,128,0,1.0000,0.0000
167,109.0,,128,2,1.0000,0.1250
168,71.0,,128,1,1.0000,0.0625
169,71.0,,128,1,1.0000,0.0625
170,71.0,,128,4,1.0000,0.2500
171,71.0,,128,1,1.0000,0.0625
172,60.0,,128,2,1.0000,0.1250
173,60.0,,128,1,1.0000,0.0625
174,60.0,,128,1,1.0000,0.0625
175,104.0,,128,4,1.0000,0.2500
176,124.0,,128,1,1.0000,0.0625
177,124.0,,128,4,1.0000,0.2500
178,90.0,,128,2,1.0000,0.1250
179,90.0,,128,4,1.0000,0.2500
180,90.0,,128,2,1.0000,0.1250
181,90.0,,128,2,1.0000,0.1250
182,119.0,,128,1,1.0000,0.0625
183,119.0,,128,4,1.0000,0.2500
184,17.0,,128,4,1.0000,0.2500
185,39.0,,128,4,1.0000,0.2500
186,39.0,,128,2,1.0000,0.1250
187,39.0,,128,4,1.0000,0.2500
188,95.0,,128,0,1.0000,0.0000
189,95.0,,128,0,1.0000,0.0000
190,95.0,,128,2,1.0000,0.1250
191,95.0,,128,4,1.0000,0.2500
192,91.0,,128,0,1.0000,0.0000
193,31.0,,128,0,1.0000,0.0000
194,31.0,,128,2,1.0000,0.1250
195,31.0,,128,2,1.0000,0.1250
196,102.0,,128,0,1.0000,0.0000
197,102.0,,128,0,1.0000,0.0000
198,102.0,,128,0,1.0000,0.0000
199,19.0,,128,2,1.0000,0.1250
200,19.0,,128,2,1.0000,0.1250
201,19.0,,128,2,1.0000,0.1250
202,85.0,,128,0,1.0000,0.0000
