1;211831.0;18807.0;100596.0;13;16.79;49158.8;20;103967.0;52961.18;1;13;90;10;47;6;3;25;2
2;423203.0;6362.0;194369.0;96;48.7;30376.39;33;197059.0;32377.74;1;318;35;3;43;14;3;256;4
3;234373.0;8612.0;137628.0;22;17.66;69350.35;112;141929.0;71599.87;2;402;42;9;34;5;3;224;2
4;123815.0;6035.0;129492.0;84;13.76;65882.32;119;129930.0;69028.11;3;399;64;5;31;14;1;712;1
5;233396.0;11575.0;48834.0;7;91.62;56504.66;63;53484.0;59691.12;5;56;54;9;8;8;3;170;0
6;169368.0;514.0;20815.0;67;65.74;46965.47;18;24473.0;47329.63;3;366;40;4;13;8;4;538;1
7;14175.0;6597.0;118072.0;77;96.79;6098.49;11;120580.0;9961.51;3;362;24;1;11;16;4;467;1
8;472662.0;4914.0;23748.0;123;58.33;93186.46;49;27392.0;94960.65;2;88;49;1;23;1;1;875;1
9;361742.0;6579.0;198752.0;88;71.69;96605.53;34;201610.0;97261.28;3;85;25;4;31;1;5;841;0
10;380820.0;17237.0;34936.0;21;5.85;18270.85;99;38361.0;18274.35;2;229;2;2;34;14;4;398;1
11;402254.0;18653.0;181306.0;97;71.05;24475.58;99;183391.0;27325.76;1;376;27;9;31;12;4;109;4
12;140918.0;16859.0;157430.0;77;99.22;7145.66;65;161253.0;8892.63;4;136;20;8;21;19;2;10;4
13;451265.0;824.0;100995.0;90;90.17;24724.12;122;105525.0;28484.18;2;255;4;6;4;10;2;583;0
14;84734.0;2354.0;87177.0;41;56.22;75898.46;22;88742.0;80612.76;4;334;31;7;14;10;5;616;2
15;478160.0;19272.0;80020.0;93;74.81;33929.54;1;81795.0;37832.65;4;10;14;5;27;20;2;253;4
16;460044.0;18408.0;61734.0;12;98.02;50144.08;91;66462.0;50866.93;3;498;79;6;13;13;5;610;1
17;223293.0;10618.0;161423.0;18;51.22;55380.48;109;163635.0;59644.85;1;181;25;2;44;5;1;750;0
18;202213.0;7268.0;64121.0;66;89.66;69474.43;57;64706.0;71062.06;1;366;8;1;47;17;1;199;1
19;363316.0;9928.0;167415.0;2;13.13;34027.55;55;170110.0;36718.72;3;231;5;10;4;7;2;31;4
20;307221.0;5938.0;89657.0;47;13.82;10753.13;120;90617.0;13784.21;2;4;32;6;22;17;1;934;1
21;215984.0;1850.0;165578.0;66;98.87;89679.16;49;167640.0;90308.5;4;499;83;1;10;17;4;747;1
22;207768.0;14584.0;195119.0;66;57.16;51854.8;120;196499.0;55875.85;5;104;58;9;38;20;4;497;1
23;354960.0;3796.0;68214.0;38;43.1;8455.22;92;69973.0;11711.62;5;130;53;7;33;2;4;407;2
24;99657.0;13393.0;178259.0;103;67.79;93082.64;9;181048.0;96801.86;4;359;46;9;16;7;5;712;1
25;26665.0;13111.0;131842.0;34;11.43;74330.72;100;132662.0;74780.4;4;288;17;10;25;20;2;607;4
26;13384.0;11370.0;48975.0;82;5.56;98394.81;16;51557.0;101931.9;2;485;80;4;32;18;4;881;4
27;157027.0;18205.0;116885.0;17;44.29;10489.99;99;120250.0;14162.94;5;33;5;5;49;19;5;841;0
28;152640.0;18071.0;130047.0;22;89.59;37933.17;57;132207.0;40097.13;2;68;24;2;25;12;4;534;0
29;214188.0;1430.0;43024.0;95;17.6;15860.0;59;43482.0;16258.18;4;104;36;2;26;13;1;694;1
30;123230.0;8957.0;78958.0;124;88.04;51638.17;58;83436.0;55446.94;5;131;48;7;18;6;4;308;1
31;30879.0;10256.0;33040.0;122;50.1;89324.58;91;37829.0;90048.52;2;249;93;4;30;7;1;936;0
32;494347.0;14107.0;126588.0;34;82.42;18002.31;108;127855.0;18353.68;2;445;84;8;12;8;4;428;1
33;473110.0;3493.0;182503.0;88;7.93;48284.89;59;182899.0;50251.58;4;401;5;10;30;8;2;648;4
34;343830.0;5758.0;97818.0;19;20.32;99131.09;72;98527.0;102242.7;4;382;96;5;2;12;2;528;2
35;195702.0;19222.0;55571.0;16;68.05;17566.85;74;57327.0;21996.54;5;388;30;2;41;16;4;760;2
36;130378.0;4328.0;129767.0;56;48.2;88453.21;98;130147.0;89490.15;2;132;27;4;28;2;2;13;2
37;416958.0;17523.0;34911.0;88;35.74;38896.2;45;37576.0;40649.27;3;89;30;7;9;2;2;404;4
38;31186.0;10808.0;170339.0;12;43.4;31521.98;29;174544.0;35175.92;5;359;5;2;38;12;4;719;1
39;453441.0;15263.0;42619.0;110;16.51;32257.94;60;45794.0;36329.19;5;427;99;5;16;9;2;573;1
40;108129.0;2058.0;197425.0;4;92.18;97575.09;57;201438.0;97775.19;2;270;59;1;17;6;2;737;4
41;467267.0;15525.0;132902.0;117;37.16;19587.72;8;133631.0;23459.05;4;348;43;7;36;12;4;713;4
42;39437.0;8278.0;195019.0;3;96.28;60251.64;10;197892.0;63469.35;2;209;15;5;9;7;1;308;4
43;493742.0;1374.0;85082.0;68;6.33;86518.63;11;86870.0;86808.26;1;493;23;3;14;14;3;631;1
44;302348.0;5739.0;40386.0;102;55.47;45563.53;10;44114.0;49121.93;1;18;71;3;28;20;1;214;2
45;359651.0;16777.0;52520.0;103;53.6;26534.41;36;52757.0;31118.93;5;92;92;8;50;20;3;-1;1
46;45751.0;3221.0;180700.0;116;33.83;69302.99;5;181006.0;73643.63;3;303;82;8;32;8;4;943;2
47;133250.0;10359.0;103059.0;108;38.37;58371.34;59;106974.0;59043.16;3;457;92;1;43;18;3;335;0
48;497219.0;16677.0;105884.0;91;75.0;7034.35;32;110742.0;7846.03;1;224;60;10;14;15;5;401;0
